Date,MarketID,CommodityID,Price,PricePerKg,PricePerLitre,UsdPrice,Unit,PriceType
2007-04-15,186,148,901.95,18.039,,13.16,50 KG,Wholesale
2007-04-15,186,65,1583.33,17.592555555555556,,23.11,90 KG,Wholesale
2007-04-15,186,50,39.57,39.57,,0.58,KG,Wholesale
2007-04-15,186,262,3600.0,40.0,,52.54,90 KG,Wholesale
2007-04-15,185,51,12.76,12.76,,0.19,KG,Wholesale
2007-04-15,185,67,1113.33,12.370333333333333,,16.25,90 KG,Wholesale
2007-04-15,185,148,759.25,15.185,,11.08,50 KG,Wholesale
2007-04-15,185,65,1166.67,12.963000000000001,,17.03,90 KG,Wholesale
2007-04-15,185,50,46.57,46.57,,0.68,KG,Wholesale
2007-04-15,185,262,2840.0,31.555555555555557,,41.45,90 KG,Wholesale
2007-05-15,191,51,11.64,11.64,,0.17,KG,Wholesale
2007-05-15,191,50,34.37,34.37,,0.51,KG,Wholesale
2007-05-15,191,262,3195.24,35.50266666666666,,47.48,90 KG,Wholesale
2007-05-15,187,262,34.0,34.0,,0.51,KG,Retail
2007-05-15,190,67,15.0,15.0,,0.22,KG,Retail
2007-05-15,184,51,13.53,13.53,,0.2,KG,Wholesale
2007-05-15,184,67,1242.86,13.809555555555555,,18.47,90 KG,Wholesale
2007-05-15,184,65,1619.05,17.989444444444445,,24.06,90 KG,Wholesale
2007-05-15,184,472,20.0,,40.0,0.3,500 ML,Retail
2007-05-15,184,96,130.0,,130.0,1.93,L,Retail
2007-05-15,184,50,33.22,33.22,,0.49,KG,Wholesale
2007-05-15,184,262,3071.0,34.12222222222222,,45.63,90 KG,Wholesale
2007-05-15,189,67,33.0,33.0,,0.49,KG,Retail
2007-05-15,186,148,929.16,18.583199999999998,,13.81,50 KG,Wholesale
2007-05-15,186,50,34.96,34.96,,0.52,KG,Wholesale
2007-05-15,186,262,3257.0,36.18888888888889,,48.4,90 KG,Wholesale
2007-05-15,188,67,29.0,29.0,,0.43,KG,Retail
2007-05-15,185,67,1171.43,13.01588888888889,,17.41,90 KG,Wholesale
2007-05-15,185,65,1555.0,17.27777777777778,,23.11,90 KG,Wholesale
2007-05-15,185,50,45.85,45.85,,0.68,KG,Wholesale
2007-06-15,191,51,13.16,13.16,,0.2,KG,Wholesale
2007-06-15,191,50,35.58,35.58,,0.54,KG,Wholesale
2007-06-15,187,67,9.0,9.0,,0.14,KG,Retail
2007-06-15,190,67,15.0,15.0,,0.23,KG,Retail
2007-06-15,184,51,13.17,13.17,,0.2,KG,Wholesale
2007-06-15,184,67,1204.44,13.382666666666667,,18.17,90 KG,Wholesale
2007-06-15,184,148,589.4,11.788,,8.89,50 KG,Wholesale
2007-06-15,184,65,1570.59,17.451,,23.69,90 KG,Wholesale
2007-06-15,184,472,20.0,,40.0,0.3,500 ML,Retail
2007-06-15,184,262,3083.0,34.25555555555555,,46.5,90 KG,Wholesale
2007-06-15,189,67,29.0,29.0,,0.44,KG,Retail
2007-06-15,186,51,14.14,14.14,,0.21,KG,Wholesale
2007-06-15,186,67,1272.22,14.135777777777777,,19.19,90 KG,Wholesale
